"","learn_rate","max_depth","sample_rate","col_sample_rate","train_AUC","val_AUC"
"273",0.01,6,0.8,0.3,0.997113224996697,0.957051282051282
"274",0.01,6,0.8,0.4,0.997668119963007,0.96025641025641
"275",0.01,6,0.8,0.5,0.997331219447747,0.95491452991453
"276",0.01,6,0.8,0.6,0.997740784780024,0.94957264957265
"277",0.01,6,0.8,0.7,0.997569031576166,0.957264957264957
"278",0.01,6,0.8,0.8,0.997093407319329,0.957264957264957
"279",0.01,6,0.8,0.9,0.997106619104241,0.955982905982906
"280",0.01,6,0.8,1,0.99697450125512,0.957478632478633
"281",0.01,6,0.9,0.1,0.996901836438103,0.966025641025641
"282",0.01,6,0.9,0.2,0.99759545514599,0.960683760683761
"283",0.01,6,0.9,0.3,0.997978596908442,0.958119658119658
"284",0.01,6,0.9,0.4,0.998209803144405,0.961965811965812
"285",0.01,6,0.9,0.5,0.998163561897212,0.95042735042735
"286",0.01,6,0.9,0.6,0.997952173338618,0.952777777777778
"287",0.01,6,0.9,0.7,0.997978596908442,0.954059829059829
"288",0.01,6,0.9,0.8,0.998077685295284,0.951923076923077
"289",0.01,6,0.9,0.9,0.997483154974237,0.956837606837607
"290",0.01,6,0.9,1,0.997166072136346,0.958333333333333
"291",0.01,6,1,0.1,0.997476549081781,0.96517094017094
"292",0.01,6,1,0.2,0.998097502972652,0.95982905982906
"293",0.01,6,1,0.3,0.998262650284053,0.958760683760684
"294",0.01,6,1,0.4,0.998612762584225,0.954059829059829
"295",0.01,6,1,0.5,0.998427797595455,0.955982905982906
"296",0.01,6,1,0.6,0.998678821508786,0.953846153846154
"297",0.01,6,1,0.7,0.99826925617651,0.951923076923077
"298",0.01,6,1,0.8,0.998203197251949,0.952136752136752
"299",0.01,6,1,0.9,0.997172678028802,0.958760683760684
"300",0.01,6,1,1,0.996393182718985,0.951388888888889
"301",0.01,7,0.5,0.1,0.993261989694808,0.962179487179487
"302",0.01,7,0.5,0.2,0.994470868014269,0.959615384615385
"303",0.01,7,0.5,0.3,0.993519619500595,0.954273504273504
"304",0.01,7,0.5,0.4,0.993770643413925,0.958547008547009
"305",0.01,7,0.5,0.5,0.993856520015854,0.95491452991453
"306",0.01,7,0.5,0.6,0.993479984145858,0.956837606837607
"307",0.01,7,0.5,0.7,0.993546043070419,0.95491452991453
"308",0.01,7,0.5,0.8,0.993136477738142,0.952991452991453
"309",0.01,7,0.5,0.9,0.991815299246928,0.946581196581197
"310",0.01,7,0.5,1,0.990949927335183,0.950854700854701
"311",0.01,7,0.6,0.1,0.993915973047959,0.965811965811966
"312",0.01,7,0.6,0.2,0.995970405601797,0.952136752136752
"313",0.01,7,0.6,0.3,0.995336239926014,0.959615384615385
"314",0.01,7,0.6,0.4,0.995032368873035,0.956623931623932
"315",0.01,7,0.6,0.5,0.994563350508654,0.952564102564103
"316",0.01,7,0.6,0.6,0.994497291584093,0.95
"317",0.01,7,0.6,0.7,0.994860615669177,0.947649572649573
"318",0.01,7,0.6,0.8,0.994609591755846,0.950213675213675
"319",0.01,7,0.6,0.9,0.993367683974105,0.952564102564103
"320",0.01,7,0.6,1,0.992951512749372,0.953205128205128
"321",0.01,7,0.7,0.1,0.996492271105826,0.962179487179487
"322",0.01,7,0.7,0.2,0.996796142158806,0.961324786324786
"323",0.01,7,0.7,0.3,0.997014136609856,0.955769230769231
"324",0.01,7,0.7,0.4,0.996888624653191,0.96025641025641
"325",0.01,7,0.7,0.5,0.996492271105826,0.948717948717949
"326",0.01,7,0.7,0.6,0.99641960628881,0.948504273504273
"327",0.01,7,0.7,0.7,0.996313912009512,0.954059829059829
"328",0.01,7,0.7,0.8,0.996446029858634,0.951709401709402
"329",0.01,7,0.7,0.9,0.995659928656361,0.954059829059829
"330",0.01,7,0.7,1,0.995547628484608,0.954059829059829
"331",0.01,7,0.8,0.1,0.99722552516845,0.966452991452992
"332",0.01,7,0.8,0.2,0.997489760866693,0.961111111111111
"333",0.01,7,0.8,0.3,0.997615272823358,0.95534188034188
"334",0.01,7,0.8,0.4,0.99796538512353,0.960683760683761
"335",0.01,7,0.8,0.5,0.997509578544061,0.954059829059829
"336",0.01,7,0.8,0.6,0.997839873166865,0.949358974358974
"337",0.01,7,0.8,0.7,0.997641696393183,0.957051282051282
"338",0.01,7,0.8,0.8,0.997265160523187,0.956837606837607
"339",0.01,7,0.8,0.9,0.997284978200555,0.955555555555555
"340",0.01,7,0.8,1,0.997113224996697,0.956837606837607
"341",0.01,7,0.9,0.1,0.997958779231074,0.965811965811966
"342",0.01,7,0.9,0.2,0.998189985467037,0.961538461538461
"343",0.01,7,0.9,0.3,0.998388162240719,0.957051282051282
"344",0.01,7,0.9,0.4,0.998447615272823,0.959401709401709
"345",0.01,7,0.9,0.5,0.998348526885982,0.95
"346",0.01,7,0.9,0.6,0.9981503501123,0.952136752136752
"347",0.01,7,0.9,0.7,0.998057867617915,0.951495726495727
"348",0.01,7,0.9,0.8,0.998256044391597,0.951709401709402
"349",0.01,7,0.9,0.9,0.997687937640375,0.954273504273504
"350",0.01,7,0.9,1,0.997218919275994,0.955128205128205
"351",0.01,7,1,0.1,0.998209803144405,0.965384615384615
"352",0.01,7,1,0.2,0.998546703659664,0.960470085470086
"353",0.01,7,1,0.3,0.998797727572995,0.957478632478633
"354",0.01,7,1,0.4,0.998976086669309,0.955982905982906
"355",0.01,7,1,0.5,0.998612762584225,0.955555555555555
"356",0.01,7,1,0.6,0.998810939357907,0.953632478632479
"357",0.01,7,1,0.7,0.998441009380367,0.952350427350427
"358",0.01,7,1,0.8,0.998573127229489,0.951068376068376
"359",0.01,7,1,0.9,0.997456731404413,0.953846153846154
"360",0.01,7,1,1,0.997080195534417,0.934294871794872
"361",0.01,8,0.5,0.1,0.993202536662703,0.961538461538461
"362",0.01,8,0.5,0.2,0.994484079799181,0.959615384615385
"363",0.01,8,0.5,0.3,0.993598890210067,0.954273504273504
"364",0.01,8,0.5,0.4,0.993777249306381,0.958547008547009
"365",0.01,8,0.5,0.5,0.99386312590831,0.954700854700855
"366",0.01,8,0.5,0.6,0.99349319593077,0.957264957264957
"367",0.01,8,0.5,0.7,0.993526225393051,0.954700854700855
"368",0.01,8,0.5,0.8,0.993156295415511,0.952991452991453
"369",0.01,8,0.5,0.9,0.991821905139384,0.946581196581197
"370",0.01,8,0.5,1,0.990949927335183,0.950854700854701
"371",0.01,8,0.6,0.1,0.99438499141234,0.966025641025641
"372",0.01,8,0.6,0.2,0.996062888096182,0.951923076923077
"373",0.01,8,0.6,0.3,0.99534284581847,0.959401709401709
"374",0.01,8,0.6,0.4,0.995025762980579,0.956623931623932
"375",0.01,8,0.6,0.5,0.99460298586339,0.952564102564103
"376",0.01,8,0.6,0.6,0.994510503369005,0.950213675213675
"377",0.01,8,0.6,0.7,0.994867221561633,0.947435897435898
"378",0.01,8,0.6,0.8,0.994616197648302,0.95
"379",0.01,8,0.6,0.9,0.99342713700621,0.952350427350427
"380",0.01,8,0.6,1,0.992958118641828,0.953418803418803
"381",0.01,8,0.7,0.1,0.996835777513542,0.963247863247863
"382",0.01,8,0.7,0.2,0.996941471792839,0.962393162393162
"383",0.01,8,0.7,0.3,0.997060377857049,0.955555555555555
"384",0.01,8,0.7,0.4,0.9970075307174,0.961324786324786
"385",0.01,8,0.7,0.5,0.996518694675651,0.948717948717949
"386",0.01,8,0.7,0.6,0.996446029858634,0.948504273504273
"387",0.01,8,0.7,0.7,0.996353547364249,0.954059829059829
"388",0.01,8,0.7,0.8,0.996426212181266,0.951923076923077
"389",0.01,8,0.7,0.9,0.995673140441274,0.954273504273504
"390",0.01,8,0.7,1,0.995607081516713,0.953632478632479
"391",0.01,8,0.8,0.1,0.997582243361078,0.965811965811966
"392",0.01,8,0.8,0.2,0.997522790328974,0.960683760683761
"393",0.01,8,0.8,0.3,0.997674725855463,0.953846153846154
"394",0.01,8,0.8,0.4,0.998064473510371,0.959615384615385
